# Drill canonicalization Phase 1 — the editorial decision for every curated row.
#
# THIS FILE IS THE DECISION, scripts/build-canon-audit.ts is only the join.
# One line per drill_resources row. A row missing from here fails the build of
# docs/audits/drill-canonicalization-decisions.csv, which is the mechanism that
# makes "zero rows may disappear from this audit" true rather than hopeful.
#
# disposition        resource_kind implied      schedulable after
#   KEEP_CANONICAL     activity                   yes
#   MERGE_INTO         activity                   yes  (family redundancy stops co-scheduling)
#   VARIATION_OF       activity                   yes
#   PROGRESSION_OF     activity                   yes
#   PRACTICE_UNIT      practice_unit              yes, on surfaces that support it
#   SOURCE_COLLECTION  source_collection          NO
#   TEACHING_CONTENT   teaching_content           NO
#   REVIEW_REQUIRED    (left NULL)                yes — unknown must not demote
#
# MERGE_INTO in Phase 1 means: both rows join ONE family, the canonical row is
# `base`. It does NOT mean a delete and does NOT hide the loser from the
# library — there is no duplicate_of column yet and history must still resolve.
# Library de-duplication is Phase 2. Said plainly so nobody reads a merge here
# as a merge that happened.
#
# id	disposition	canonical_target_id	family_slug	variation_type	confidence	review	rationale
#
# ── ARM CARE (5) — outside the pilot; decisions recorded, nothing written ────
9d95c228-0f42-487d-bfa0-164df2646c50	PRACTICE_UNIT			 	high	no	Nine-exercise J-band routine run as one block, not one drill.
977c1fd1-12b0-42c6-8b8b-e3a90303e385	PRACTICE_UNIT			 	high	no	Stretch plus throwing warm-up sequence run as one block.
dfa91c84-6ce8-4d03-9c5d-4252adc5fe3d	PRACTICE_UNIT			 	high	no	Complete pre-throwing routine; a sequence, not an activity.
b67499b8-314b-415f-a789-c0b90f1f9a3f	PRACTICE_UNIT			 	high	no	Eight post-outing recovery exercises run as one block.
ce379eeb-fa92-47f0-b41f-dd3831ebc5bc	PRACTICE_UNIT			 	high	no	J-band activation routine. Same concept as 9d95c228 on a different video — family deferred to Phase 2.
# ── ATHLETIC DEVELOPMENT (2) ────────────────────────────────────────────────
32d3b75f-3d94-4048-b1e1-26a3d87e9449	PRACTICE_UNIT			 	medium	no	Baserunning circuit combining several movements; run as a unit.
b194ff1d-f857-47d5-911c-0bab06c6e6bc	PRACTICE_UNIT			 	high	no	Dynamic stretching routine run as one block.
# ── BASERUNNING (13) ────────────────────────────────────────────────────────
bca3c9cb-536d-4066-b9d5-5d960f4eb9a7	TEACHING_CONTENT			 	medium	yes	A five-point mental checklist for the runner, not an arrangement of players.
ecf4c61b-0b8b-49bd-bbe5-697d42991d79	MERGE_INTO	32d3b75f-3d94-4048-b1e1-26a3d87e9449		 	medium	yes	Same circuit and same video as 32d3b75f; thinner row. Non-pilot: recorded only.
b610bf25-fbc7-46e3-9c8a-16e07224bf70	KEEP_CANONICAL		sliding	base	high	no	Already the base of the sliding family. Concrete technique with a rep setting.
b2de2724-cd95-417e-ad7a-d6df5e55b34d	TEACHING_CONTENT			 	medium	yes	Teaches a technique out of the box; no setup, no rep pattern.
23a37283-c85e-4564-a48a-eaad8a691f78	TEACHING_CONTENT			 	high	no	Coach education on structuring practice, not an activity for players.
5357926b-8cb2-4ca4-86e7-ee389f6793d5	TEACHING_CONTENT			 	high	no	Demonstrates technique across several situations; no runnable arrangement.
9335a346-33a3-4bd1-b65c-2664f9c7fcfb	KEEP_CANONICAL		sliding	progression	high	no	Already the sliding family progression.
4106c25c-beeb-4d11-b1aa-eb9aa85978ae	PRACTICE_UNIT			 	medium	yes	Called a package: leads, reads and jumps run together.
b9bb75c7-9ed0-47ee-9d11-2de953510027	KEEP_CANONICAL			 	medium	no	Concrete: timing shuffles with the pitch, reading the catcher.
35a5e10e-9713-4887-ad07-030b421db06f	KEEP_CANONICAL			 	high	no	Plural title but one activity — three angled cones, one setup. Name is not evidence.
a9b479c8-a255-4886-b35f-02986820de03	SOURCE_COLLECTION			 	high	no	Comprehensive coverage of leads, reading pitchers and sliding — three subjects.
282be624-51e9-4a06-ab37-7646b0a3da8b	KEEP_CANONICAL			 	high	no	Station-based sliding reps: a concrete arrangement.
f9d5d796-ce11-4964-bc70-a3ce5f8a607f	KEEP_CANONICAL			 	high	no	One concrete skill with a read and a first move.
# ── BUNTING (5) ─────────────────────────────────────────────────────────────
a648dcab-45b3-4c81-9ed4-f29eaea4323e	KEEP_CANONICAL			 	high	no	Named equipment, named target, one activity.
2db609fb-e152-400c-8927-038809eb062f	KEEP_CANONICAL			 	high	no	Scored team game with a stated scoring rule.
cf43c787-c5f1-4188-9aff-e574b2b08c0a	KEEP_CANONICAL			 	high	no	High-rep placement drill with a stated target.
6103f317-ff80-4422-a86a-e83d9e15d80b	TEACHING_CONTENT			 	medium	yes	Fundamentals instruction; no setup or rep pattern stated.
a50b19b7-e1ef-48fb-81b0-7cff9a96a0a0	TEACHING_CONTENT			 	medium	yes	Covers sacrifice and drag technique; instruction, not arrangement.
# ── CATCHING (13) ───────────────────────────────────────────────────────────
fe58cb41-277b-4757-bd46-dc78206d4d45	SOURCE_COLLECTION			 	high	no	Three progressive framing drills — three activities in one row.
babe5481-655c-4c2e-9985-2465937c1067	KEEP_CANONICAL			 	high	no	Technique stated with a rep progression to reaction reps.
01316f5d-8ea2-451f-a243-5e5edbd47d74	SOURCE_COLLECTION			 	high	no	Covers stance, footwork and throw-downs — several activities.
367642e8-dfd4-4988-90e5-f2c4d10b3401	KEEP_CANONICAL			 	high	no	One footwork pattern to one base at game speed.
41594e0a-9e09-44f9-96f5-5b4ef955afab	TEACHING_CONTENT			 	high	no	A mnemonic jingle. Nothing to schedule.
808e703f-d60e-4a0b-8cbd-845bcb4cc1bb	KEEP_CANONICAL			 	high	no	Unpredictable balls in the dirt; a concrete read-and-react setup.
5c529012-7999-489d-90cb-4ccbeab94846	TEACHING_CONTENT			 	high	no	How to teach catching; addressed to the coach.
