pathway_slug,pathway_name,stage_number,stage_key,stage_name,current_status,current_drill_count,current_drill_ids,current_drill_names,stage_problem_slugs,teaching_job_missing,existing_library_candidate,existing_candidate_disposition,proposed_activity_name,proposed_category,proposed_problem_slug,proposed_stage_role,evidence_basis,confidence,editorial_decision,notes
"build-the-swing","Build The Swing","2","grip","Grip","GAP","1","252404f0-38c3-481f-a18b-f7ce0262903f","Stance & Athletic Position Drill","casting rolling-over","Finding and checking the grip as its own repeatable rep, rather than as one clause inside a stance drill.","Stance & Athletic Position Drill","DISTINCT_CANONICAL_MISSING","Grip Check — Find It Without Looking","Hitting","rolling-over","primary","Searched all 47 Hitting, 3 Soft Toss and 3 Bunting rows. Exactly one carries ""grip"" in mechanic_focus — the stance drill, where grip is one of five things it trains and gets one clause of set-up and one mastery signal.","medium","ADD_CANONICAL","Only defensible as a drill if written rep-based — bat down, pick it up, find the grip without looking, coach checks, eight of ten. Written as a paragraph about knuckle alignment it is TEACHING_CONTENT and must not take a drill row. Problem mapping is the honest half-fit: rolled knuckles limit the wrist hinge and show up as rolling-over. No grip-specific slug exists in the taxonomy and one is not proposed here."
"infield-fundamentals","Infield Fundamentals","4","reading-hops","Reading hops","THIN","3","2f3326af-9848-534e-9cc2-3d0f628c1162 192913af-c080-4361-b20e-f88f29db530f 5afa81e5-ec55-4066-b62f-1b535884060b","Recovery Drill | The Hands Routine — Infield Fielding Drill | Advanced First Base — Off-Line Throws, Picks & Short Hops","poor-fielding-footwork","Choosing the hop: reading the ball early, counting hops, and moving the feet to create a long hop or a short one rather than fielding whatever arrives.","Recovery Drill; Advanced First Base — Off-Line Throws, Picks & Short Hops; The Hands Routine; Wall Ball","DISTINCT_CANONICAL_MISSING","Pick Your Hop — Read It and Move to It","Fielding (Infield)","poor-fielding-footwork","primary","All 20 Fielding (Infield) rows checked. Recovery Drill trains recovery after a misplay; Advanced First Base trains short-hop picks at the bag; Wall Ball gives solo short hops. None trains hop selection — the charge-or-drop-back decision — and no mechanic_focus in the category mentions reading or counting hops.","high","ADD_CANONICAL","The highest-confidence candidate in this audit. Must train the decision, not just the pick: balls rolled at varied distances, fielder calls the hop they are going to take. A drill that only feeds clean short hops is a variation of Advanced First Base and should not be added."
"outfield-development","Outfield Development","1","ready-and-first-step","Ready position and first step","THIN","2","07a59bb9-1b7c-554a-a1f1-98f4af671e21 744a47da-ef0c-42b0-b961-1175aaad42d9","On the Run | Outfield Drop Step Drill","slow-first-step backpedaling-flyballs","Pre-pitch ready position and a first movement in any direction from a standing start.","Outfield Drop Step Drill; On the Run; Infield/Outfield Priority Drill","DISTINCT_CANONICAL_MISSING","Ready and Go — Outfield First Step","Fielding (Fly Balls)","slow-first-step","primary","The drop-step drill trains the first step for balls hit overhead only. On the Run starts the fielder already moving, which is why it cannot teach the start. The priority drill lists ready position in mechanic_focus but its teaching job is who calls the ball.","medium","ADD_CANONICAL","The brief warns against a renamed drop step and the warning is right. This is only distinct if the fielder starts set and the ball goes in four directions — in, back, and both gaps. If it ends up being balls hit over the head, it is VARIATION_OF the drop-step drill and must be dropped."
"outfield-development","Outfield Development","2","drop-step","Drop step","THIN","2","744a47da-ef0c-42b0-b961-1175aaad42d9 07a59bb9-1b7c-554a-a1f1-98f4af671e21","Outfield Drop Step Drill | On the Run","backpedaling-flyballs slow-first-step","None. The stage has one teaching job and two drills that do it.","Outfield Drop Step Drill; On the Run","NO_NEW_DRILL_NEEDED","","","","","The drop step is a single movement. The library has the drill that teaches it and the drill that makes it finish in a catch.","high","SKIP","THIN here is an artefact of a three-drill threshold, not a content gap. Adding a third drop-step drill would turn the row green and teach a coach nothing."
"outfield-development","Outfield Development","7","ground-ball-approach","Ground-ball approach","THIN","2","daea5efc-42ce-4a83-9f07-a867dd6fbddd 781605ce-10f5-400c-b7e2-6243915b5da2","Do-or-Die Charge & Throw | Four Cones Ground Ball Drill","poor-fielding-footwork backpedaling-flyballs","The routine outfield ground ball — get around it, field it in the middle of the body, come up into the throw — and the knee-down block when nobody is advancing.","Do-or-Die Charge & Throw; Four Cones Ground Ball Drill","DISTINCT_CANONICAL_MISSING","Routine Outfield Ground Ball — Field It and Come Up Throwing","Fielding (Fly Balls)","poor-fielding-footwork","primary","Do-or-Die is the only outfield ground-ball drill and it is explicitly the highest-urgency version — attack angle, glove-side pickup, momentum through the throw. Four Cones is infield-framed and attached here as a regression for the approach alone.","high","ADD_CANONICAL","The knee-down block is NOT a second row. It is the same play with the urgency removed and belongs inside this drill as its easier version — VARIATION_OF, per 2F.4. The fence carom is a genuinely separate job but is deferred: most fields these teams play on have no fence, so the leverage is low."
"outfield-development","Outfield Development","10","do-or-die","Do or die","THIN","2","daea5efc-42ce-4a83-9f07-a867dd6fbddd 73f5fef2-af64-4577-998d-da854cebb0cf","Do-or-Die Charge & Throw | Crow Hop — Arm Strength and Outfield Throwing","backpedaling-flyballs","None.","Do-or-Die Charge & Throw; Crow Hop","NO_NEW_DRILL_NEEDED","","","","","Do-or-Die is the play itself; Crow Hop is the footwork underneath it when the throw is the part failing. That is the whole job.","high","SKIP","Two drills is the right number for one play. Threshold artefact."
"pitching-development","Pitching Development","2","balance-at-leg-lift","Balance at the leg lift","THIN","2","a54d536f-e4f0-4dd5-91d2-d007bd274250 a559ea0e-7d73-4920-905f-ccb86e117f4e","Balance Point Drill — Leg Lift & Pause | Flamingo Balance Drill — Single-Leg Stability","balance-leg-lift rushing-delivery","None.","Balance Point Drill — Leg Lift & Pause; Flamingo Balance Drill","ALREADY_COVERED","","","","","The brief floats a Balance Hold / Balance Beam candidate. Both halves already exist: Balance Point holds the top of the delivery, Flamingo trains single-leg stability with no delivery attached. They are the only two balance drills in the library and both are attached.","high","SKIP","A balance beam is equipment, not a teaching job."
"pitching-development","Pitching Development","3","delivery-in-parts","The delivery, in parts","THIN","2","253fee8d-d86f-497b-83db-44e622fb0a2d a54d536f-e4f0-4dd5-91d2-d007bd274250","4-Part Windup Drill — Breaking Down the Delivery | Balance Point Drill — Leg Lift & Pause","rushing-delivery throwing-mechanics","Nothing canonical. The stage would be stronger with an existing row attached as a regression.","4-Part Windup Drill; Throwing Progression for Youth Players — Knee, Hip, Full (not attached)","ALREADY_COVERED","","","","","The brief floats a Segmented Delivery Drill. The 4-Part Windup Drill is that drill — windup sequencing, position checkpoints, complete motion. The knee-hip-full throwing progression is the same idea one level below and is currently attached only to Throwing Development.","high","MATCH_EXISTING","Fix by attaching the knee-hip-full progression as a regression in 2F.8. Zero new rows."
"pitching-development","Pitching Development","5","stride-and-landing","Stride direction and landing","THIN","2","f47eba7c-bf41-4e1a-8a65-882f6fdcb0b1 b22aa9c8-7cd1-4dc0-bba3-c66b03396e21","Stride Direction Drill — Using a Chalk Line or Tape | The Heel-Toe Drill — Front Foot Landing","inconsistent-stride stepping-in-bucket inaccurate-throws","Nothing canonical.","Stride Direction Drill — Using a Chalk Line or Tape; The Heel-Toe Drill; Towel Drill (not attached)","ALREADY_COVERED","","","","","The brief floats a Stride-Line Landing Drill. The Stride Direction Drill literally uses a chalk line and trains stride direction, stride length and landing-spot consistency. The Towel Drill also carries stride direction in mechanic_focus and is not attached here.","high","MATCH_EXISTING","Attach the Towel Drill as reinforcement in 2F.8. Zero new rows."
"pitching-development","Pitching Development","6","front-side","Front side control","THIN","2","b1c3653c-82a0-446e-a9cb-0dd5ebf09864 41ff62cc-fb54-4266-8d0c-083a1c341161","Glove-Side Pull Drill — Front Side Control | Follow-Through Hold Drill — Finishing Strong","throwing-mechanics no-hip-lead","Nothing canonical.","Glove-Side Pull Drill — Front Side Control; Square Hips / Hip Lock Drill (not attached)","ALREADY_COVERED","","","","","The brief floats a Front-Side Stability Drill. Glove-Side Pull is named for it and trains glove arm control, front side stability and chest drive. Square Hips / Hip Lock trains front hip locking and is mapped to flying-open — the failure this stage is about — and is not attached.","high","MATCH_EXISTING","Attach Square Hips / Hip Lock in 2F.8. Also note the current second drill here is Follow-Through Hold as an assessment, which is a weaker fit than the row that is sitting unattached."
