drill_id,drill_name,category,schedulable,current_problem_count,proposed_problem_slug,action,confidence,rationale
ecf4c61b-0b8b-49bd-bbe5-697d42991d79,Base Running Circuit,Baserunning,yes,0,slow-first-step,ADD_MAPPING,high,The circuit's first station is an explosive three-step start on an unpredictable signal.
ecf4c61b-0b8b-49bd-bbe5-697d42991d79,Base Running Circuit,Baserunning,yes,0,bad-base-turns,ADD_MAPPING,high,Cutting the inside corner of the base is one of the circuit's scored success markers.
b2de2724-cd95-417e-ad7a-d6df5e55b34d,Fastest Technique Running Out of the Box,Baserunning,no,0,,NO_MAPPING_NEEDED,high,teaching_content — explains a technique rather than being a station a coach runs.
23a37283-c85e-4564-a48a-eaad8a691f78,How to Add Base Running Into Practice,Baserunning,no,0,,NO_MAPPING_NEEDED,high,"teaching_content — advice about practice structure, not a drill."
a9b479c8-a255-4886-b35f-02986820de03,Skills and Drills for Baserunning,Baserunning,no,0,,NO_MAPPING_NEEDED,high,"source_collection — a video of several drills, not one activity."
a648dcab-45b3-4c81-9ed4-f29eaea4323e,Bunting with Lacrosse Stick,Bunting,yes,0,cant-bunt,ADD_MAPPING,high,A bunting station whose whole feedback loop is whether the bunt was placed.
a50b19b7-e1ef-48fb-81b0-7cff9a96a0a0,How to Bunt Like a PRO,Bunting,no,0,,NO_MAPPING_NEEDED,high,"teaching_content — bunting instruction, not a runnable station."
41594e0a-9e09-44f9-96f5-5b4ef955afab,Catching For Beginners (Jingle),Catching,no,0,,NO_MAPPING_NEEDED,high,"teaching_content — a mnemonic, not an activity."
1be09ab8-a1a3-45ca-945b-b7b26585c379,Top 5 Catching Drills for 8U,Catching,no,0,,NO_MAPPING_NEEDED,high,source_collection — five drills in one video.
e709ba50-5004-4e9c-a2b6-3abffa809e78,Youth Baseball Catching Drills,Catching,no,0,,NO_MAPPING_NEEDED,high,"source_collection — covers receiving, blocking and throwing at once."
8f9473e4-ff47-41cd-96b1-756aa76a3379,2 Outfield Drills for Fly Balls,Fielding (Fly Balls),no,0,,NO_MAPPING_NEEDED,high,source_collection — two drills in one video.
79c17c8e-3331-4930-a729-a0d18196cf73,3 Great Drills for Teaching Fly Balls,Fielding (Fly Balls),no,0,,NO_MAPPING_NEEDED,high,source_collection — three drills in one video.
29276b7a-fd04-45ff-825d-1d715d384908,Fly Ball Drill with Cones,Fielding (Fly Balls),yes,0,backpedaling-flyballs,ADD_MAPPING,high,"The cone gives the fielder somewhere to turn and run to, which is the direct alternative to backpedalling."
6594d761-ce0b-4f2b-b72f-1f19fdb6574c,How to Catch a Fly Ball With Confidence,Fielding (Fly Balls),no,0,,NO_MAPPING_NEEDED,high,"teaching_content — progressions described, not a station."
0833de14-902c-408a-a3a9-a8c4df28c4f1,Cross-Shuffle Drill,Fielding (Infield),yes,0,poor-fielding-footwork,ADD_MAPPING,high,The lateral shuffle without crossing the feet is the drill's first success marker.
