id,drill_name,age_range,ai_coaching_notes,channel,common_flaws_fixed,competition_level,created_at,created_by_coach_id,description,difficulty_level,duration,equipment_needed,est_duration_minutes,frequency_guidance,indoor_outdoor,max_age,mechanic_focus,min_age,primary_skill,progression_level,reps_guidance,requires_partner,safety_notes,secondary_skill,skill_category,source,space_required,status,success_markers,tags,thumbnail_url,updated_at,url_verified_at,youtube_start_seconds,youtube_url,youtube_video_id,_joined_problem_count,_joined_problem_curated,_joined_problem_labels,_joined_problem_slugs
874e0c3a-14d6-4edd-beed-e943c1373d6d,High Tee Drill,9-12,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Dominate The Diamond,Dropping hands / under balls,both,2026-02-23T03:28:42.651266+00:00,,Helps hitters work on high pitch posture and flatter bat path. Great for players who drop their hands and get under every ball.,Intermediate,,bat | tee | balls,,,Indoor/Outdoor,12,tee work | high pitches | posture,9,Hitting,3,,false,,tee work,Hitting,,Small,approved,,tee work | high pitches | posture | swing plane,https://img.youtube.com/vi/iKX-qxQ1X5g/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=iKX-qxQ1X5g,iKX-qxQ1X5g,0,,,
5abc9df7-d4ad-40d3-b95e-2eb275e82710,PVC Posture Drill,9-12,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Hitting Done Right,,both,2026-02-23T03:28:42.651266+00:00,,Uses PVC pipe to help players feel proper posture and shoulder tilt for various pitch locations.,Intermediate,,bat | PVC pipe,,,Indoor/Outdoor,12,posture | shoulder tilt | PVC drill,9,Hitting,3,,false,,posture,Hitting,,Small,approved,,posture | shoulder tilt | PVC drill | mechanics,https://img.youtube.com/vi/p7B12g_o4pQ/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=p7B12g_o4pQ,p7B12g_o4pQ,0,,,
31af2888-b541-479e-8a0f-78bcb528ea17,Load to Launch Drill,9-12,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Hitting Done Right,,both,2026-02-23T03:28:42.651266+00:00,,Essential drill for teaching the transition from load to launch position. Critical for power and timing.,Intermediate,,bat,,,Indoor/Outdoor,12,load | launch | lower half,9,Hitting,3,,false,,load,Hitting,,Small,approved,,load | launch | lower half | hip load,https://img.youtube.com/vi/8t_2jHXCdaI/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=8t_2jHXCdaI,8t_2jHXCdaI,0,,,
f1bf25fb-0167-4b61-b196-675b2ba14280,Don't Dump the Barrel,9-12,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Hitting Done Right,Dumping barrel / dragging elbow,both,2026-02-23T03:28:42.651266+00:00,,For players who dump the barrel below their hands early or have dragging back elbow issues.,Intermediate,,bat,,,Indoor/Outdoor,12,barrel control | elbow position | swing path,9,Hitting,3,,false,,barrel control,Hitting,,Small,approved,,barrel control | elbow position | swing path,https://img.youtube.com/vi/CfnTD3DyEM0/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=CfnTD3DyEM0,CfnTD3DyEM0,0,,,
0997fc64-a8e8-44b1-995c-3aa1e0291a99,Baby Steps - Hip Load,6-10,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Hitting Done Right,,both,2026-02-23T03:28:42.651266+00:00,,Progressive drill for teaching young hitters how to load their hips properly.,Beginner,,bat,,,Indoor/Outdoor,10,hip load | lower half | beginner,6,Hitting,2,,false,,hip load,Hitting,,Small,approved,,hip load | lower half | beginner | progression,https://img.youtube.com/vi/Sx-nSeUhACM/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=Sx-nSeUhACM,Sx-nSeUhACM,0,,,
ba7e4b8c-ad36-45bd-9b63-b7b354b9d43d,Freeze at Extension Drill,6-12,Cue: athletic posture + keep hands above ball; match bat path to pitch plane.,Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Players freeze at extension to feel proper follow-through and extension position.,Intermediate,,bat,,,Indoor/Outdoor,12,extension | finish | mechanics,6,Hitting,3,,false,,extension,Hitting,,Small,approved,,extension | finish | mechanics | follow-through,https://img.youtube.com/vi/NEfaNRgWJdU/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=NEfaNRgWJdU,NEfaNRgWJdU,0,,,
731d15d2-5e07-4a45-abb4-96163738905e,How to Soft Toss,6-12,Coach: start slow; emphasize eyes/head still; quality reps > volume.,Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Proper technique for soft toss from the side. Great for warm-ups and working on timing.,Intermediate,,bat | balls,,,Indoor/Outdoor,12,soft toss | warm-up | side toss,6,Soft Toss,3,,true,,soft toss,Soft Toss,,Small,approved,,soft toss | warm-up | side toss | timing,https://img.youtube.com/vi/rV3EQ5tHcNE/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=rV3EQ5tHcNE,rV3EQ5tHcNE,1,late-timing:auto:100,Late / poor timing,late-timing
4cd55f36-4ac8-447a-9633-936c9b1f6c22,Ripken Soft Toss Drill,6-12,Coach: start slow; emphasize eyes/head still; quality reps > volume.,Ripken Baseball,,both,2026-02-23T03:28:42.651266+00:00,,Bill Ripken demonstrates how to eliminate the lower half in soft toss to focus on hands and bat path.,Intermediate,,bat | balls,,,Indoor/Outdoor,12,soft toss | quick hands | Ripken method,6,Soft Toss,3,,true,,soft toss,Soft Toss,,Small,approved,,soft toss | quick hands | Ripken method | fundamentals,https://img.youtube.com/vi/TZ9CQUmPjn8/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=TZ9CQUmPjn8,TZ9CQUmPjn8,0,,,
fac499f5-7d4b-49b2-a924-55c97a96eeef,Sunflower Seed Soft Toss,6-10,Coach: start slow; emphasize eyes/head still; quality reps > volume.,Coach Pat Ahearne,,both,2026-02-23T03:28:42.651266+00:00,,Fun drill using sunflower seeds instead of balls to develop hand-eye coordination and focus.,Beginner,,bat | balls | sunflower seeds,,,Indoor/Outdoor,10,soft toss | hand-eye coordination | fun drill,6,Soft Toss,2,,true,,soft toss,Soft Toss,,Small,approved,,soft toss | hand-eye coordination | fun drill | seeds,https://img.youtube.com/vi/I5KNd4H_b4Q/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=I5KNd4H_b4Q,I5KNd4H_b4Q,0,,,
1f64a6c2-11bd-40d4-a45d-ae028f83db91,Two Balls Toss Drill,9-12,Coach: start slow; emphasize eyes/head still; quality reps > volume.,Baseball Canada,,both,2026-02-23T03:28:42.651266+00:00,,Advanced soft toss variation using two balls to work on reaction time and decision making.,Advanced,,bat | balls,,,Indoor/Outdoor,12,soft toss | reaction | decision making,9,Soft Toss,4,,true,,soft toss,Soft Toss,,Small,approved,,soft toss | reaction | decision making | advanced,https://img.youtube.com/vi/pOu6Rfnf8og/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=pOu6Rfnf8og,pOu6Rfnf8og,0,,,
a50b19b7-e1ef-48fb-81b0-7cff9a96a0a0,How to Bunt Like a PRO,9-12,Cue: angle barrel to target; catch ball with bat; deaden contact.,Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Comprehensive bunting instruction covering proper technique for sacrifice and drag bunts.,Intermediate,,bat,,,Indoor/Outdoor,12,bunting | sacrifice | fundamentals,9,Bunting,3,,false,,bunting,Bunting,,Small,approved,,bunting | sacrifice | fundamentals | technique,https://img.youtube.com/vi/jQ155czytTU/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=jQ155czytTU,jQ155czytTU,0,,,
a648dcab-45b3-4c81-9ed4-f29eaea4323e,Bunting with Lacrosse Stick,9-12,Cue: angle barrel to target; catch ball with bat; deaden contact.,Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Uses a lacrosse stick as a target to practice bunting accuracy and bat control.,Intermediate,,bat | lacrosse stick (target),,,Indoor/Outdoor,12,bunting | lacrosse stick | precision,9,Bunting,3,,false,,bunting,Bunting,,Small,approved,,bunting | lacrosse stick | precision | target practice,https://img.youtube.com/vi/YLocEKnieBA/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=YLocEKnieBA,YLocEKnieBA,0,,,
1176adaf-60f6-4dc1-a596-f30773a9c5be,5 Youth Pitching Drills From Your Knees,6-10,Cue: stable head; rotate through hips/torso; finish balanced.,Antonelli Baseball,,both,2026-02-23T03:28:42.651266+00:00,,Five drills done from the knees to build proper throwing foundation for young pitchers.,Beginner,,baseballs | towel/mat (optional),,,Indoor/Outdoor,10,pitching | knee drills | foundation,6,Pitching,2,,true,Warm up first; keep throws age-appropriate; stop if pain.,pitching,Pitching,,Medium,approved,,pitching | knee drills | foundation | mechanics,https://img.youtube.com/vi/Sx15PJz027o/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=Sx15PJz027o,Sx15PJz027o,0,,,
6955e8e1-756d-4f11-a1ca-0675527ebc9e,Indoor Team Pitching Drills,9-12,Cue: stable head; rotate through hips/torso; finish balanced.,Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Team-based pitching drills that can be done indoors during bad weather or off-season.,Intermediate,,baseballs,,,Indoor/Outdoor,12,pitching | indoor | team drills,9,Pitching,3,,true,Warm up first; keep throws age-appropriate; stop if pain.,pitching,Pitching,,Medium-large,approved,,pitching | indoor | team drills | winter work,https://img.youtube.com/vi/TPIs68iqZVA/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=TPIs68iqZVA,TPIs68iqZVA,0,,,
9611311a-34f7-444d-a98c-44b689a181b6,Rotational Efficiency Drills,11-12,Cue: stable head; rotate through hips/torso; finish balanced.,Various,,both,2026-02-23T03:28:42.651266+00:00,,Two drills focused on improving rotational efficiency for better velocity and command.,Advanced,,baseballs,,,Indoor/Outdoor,12,pitching | rotation | efficiency,11,Pitching,4,,true,Warm up first; keep throws age-appropriate; stop if pain.,pitching,Pitching,,Medium,approved,,pitching | rotation | efficiency | velocity,https://img.youtube.com/vi/RXvrHLb0OII/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=RXvrHLb0OII,RXvrHLb0OII,0,,,
663dc298-e5f2-4ea8-9d6d-6812e652cf28,Fun Baseball Throwing Drill,6-10,Cue: glove-side target; separate on time; smooth arm circle; good follow-through.,Duke Baxter / Dominate The Diamond,,both,2026-02-23T03:28:42.651266+00:00,,Duke Baxter demonstrates a fun competitive throwing drill that keeps kids engaged while building accuracy.,Beginner,,baseballs,,,Indoor/Outdoor,10,throwing | fun | competition,6,Throwing,2,,true,Warm up first; keep throws age-appropriate; stop if pain.,throwing,Throwing,,Medium,approved,,throwing | fun | competition | accuracy,https://img.youtube.com/vi/cltDRzlLm44/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=cltDRzlLm44,cltDRzlLm44,0,,,
4e1975e2-eb6b-49a8-9d29-0b9d0afd2f68,Simple Throwing Progressions,6-10,Cue: glove-side target; separate on time; smooth arm circle; good follow-through.,Various,,both,2026-02-23T03:28:42.651266+00:00,,Step-by-step throwing progressions for youth players. Stop over-complicating throwing mechanics.,Beginner,,baseballs,,,Indoor/Outdoor,10,throwing | progressions | basics,6,Throwing,2,,true,Warm up first; keep throws age-appropriate; stop if pain.,throwing,Throwing,,Medium,approved,,throwing | progressions | basics | youth,https://img.youtube.com/vi/LtzwCrthlTY/hqdefault.jpg,2026-02-23T03:28:42.651266+00:00,,,https://www.youtube.com/watch?v=LtzwCrthlTY,LtzwCrthlTY,0,,,
