priority,video_id,drills_on_video,drill_id,drill_name,skill_category,video_url,start,source,notes
P0,77r6mWAUecA,10,28d76619-82c7-4b4f-aaa8-16464ba10b1b,"Throwing Progression for Youth Players","Throwing",https://www.youtube.com/watch?v=77r6mWAUecA,,,
P0,YRAjMC5F4sg,10,f1e620a8-1016-4097-b104-502ddcab967a,"Selfies Solo Rebounder — Build Reps Without a Partner","Throwing",https://www.youtube.com/watch?v=YRAjMC5F4sg,,,
P0,q7CPS0RYDPM,8,e597ce36-5625-42f2-a378-30052499bb18,"Low Tee","Hitting",https://www.youtube.com/watch?v=q7CPS0RYDPM,,,
P0,q7CPS0RYDPM,8,6a2c9dc7-f08c-47fd-9a08-f9e117f466cb,"Tee Work","Hitting",https://www.youtube.com/watch?v=q7CPS0RYDPM,,,
P0,q7CPS0RYDPM,8,9300e679-69a7-4757-b74d-172103654860,"Tee Work — Ball Out In Front","Hitting",https://www.youtube.com/watch?v=q7CPS0RYDPM,,,
P0,UeJpXF55kvs,8,7a2a344c-b2d7-4bf6-b0a2-e1dec8d835ab,"Line Drive Pro / Visual Feedback Swing Drill","Hitting",https://www.youtube.com/watch?v=UeJpXF55kvs,,,
P0,UeJpXF55kvs,8,252404f0-38c3-481f-a18b-f7ce0262903f,"Stance & Athletic Position Drill","Hitting",https://www.youtube.com/watch?v=UeJpXF55kvs,,,
P0,UeJpXF55kvs,8,f35c8a06-d0e9-4a8b-ac8a-efffb204f026,"Stride Pause to Stride Swing Drill","Hitting",https://www.youtube.com/watch?v=UeJpXF55kvs,,,
P0,9XkdpzNrswo,5,0ddcfd4a-2520-4d3a-ae98-b647bf07c49b,"One-Hand Tee Drill (Top Hand)","Hitting",https://www.youtube.com/watch?v=9XkdpzNrswo,,,
P0,ZMuVnmUY2CI,3,19e2c8a9-d4a2-48bc-a511-0471f030d2e2,"3 Great Outfield Drills for Youth Players","Fielding (Fly Balls)",https://www.youtube.com/watch?v=ZMuVnmUY2CI,,,
P0,ZMuVnmUY2CI,3,73f5fef2-af64-4577-998d-da854cebb0cf,"Crow Hop — Arm Strength and Outfield Throwing","Throwing",https://www.youtube.com/watch?v=ZMuVnmUY2CI,,,
P1,4NOo7JSK6eA,19,e9b7c3c8-ce7b-44d9-9311-cacf9354400d,"How to Throw a Baseball — Complete Beginner Mechanics","Throwing",https://www.youtube.com/watch?v=4NOo7JSK6eA,,,
P1,4NOo7JSK6eA,19,cf56cda8-d397-4ed7-873b-560b78d6473e,"The Swing Shuffle Drill — Momentum & Rhythm","Pitching",https://www.youtube.com/watch?v=4NOo7JSK6eA,,,
P1,YRAjMC5F4sg,10,455f390b-dd25-4389-a65d-9485f7b6fa53,"10 Best Baseball Throwing Drills for Kids","Throwing",https://www.youtube.com/watch?v=YRAjMC5F4sg,,,
P1,YRAjMC5F4sg,10,0200c065-9f6f-4a76-bd9a-22e46141a6ce,"The Ankle Eye Drill — Footwork Foundation","Throwing",https://www.youtube.com/watch?v=YRAjMC5F4sg,,,
P1,McHb2hXrTrE,9,253fee8d-d86f-497b-83db-44e622fb0a2d,"4-Part Windup Drill — Breaking Down the Delivery","Pitching",https://www.youtube.com/watch?v=McHb2hXrTrE,,,
P1,ImeXGqKYP7Y,8,a54d536f-e4f0-4dd5-91d2-d007bd274250,"Balance Point Drill — Leg Lift & Pause","Pitching",https://www.youtube.com/watch?v=ImeXGqKYP7Y,,,
P1,q7CPS0RYDPM,8,54cf8f72-be57-478b-8a6d-bb084cadbddf,"Front Toss Drill","Hitting",https://www.youtube.com/watch?v=q7CPS0RYDPM,,,
P1,UeJpXF55kvs,8,ee6aa905-1e2c-4f96-8eff-4dc22fc01d4f,"Mini Wiffle Ball & Skinny Bat Drill","Hitting",https://www.youtube.com/watch?v=UeJpXF55kvs,,,
P1,UeJpXF55kvs,8,ac27e607-b52e-4865-8240-5a9b7795a410,"The Swing Rail / Stay Inside the Ball Drill","Hitting",https://www.youtube.com/watch?v=UeJpXF55kvs,,,
P1,9XkdpzNrswo,5,55afb864-a8b0-496c-9b08-3e6805c7902d,"Inside-Out Swing Drill (Fence Drill)","Hitting",https://www.youtube.com/watch?v=9XkdpzNrswo,,,
P1,O7FHkj4EUpY,3,18e0cf1e-7f9b-4e51-9125-db81b04811a3,"Soft Toss From the Side","Hitting",https://www.youtube.com/watch?v=O7FHkj4EUpY,,,
P1,pPx0lH8Kd3Y,3,09b8ebeb-a43d-40db-b1ae-eaa44e48f82c,"EASY Baseball Catch Drill — First Catch Fundamentals","Throwing",https://www.youtube.com/watch?v=pPx0lH8Kd3Y,,,
P1,Hk9-ofX19Ig,2,1a1767cc-35ca-47f3-ad7d-5a920add6597,"How to Throw the RIGHT WAY","Throwing",https://www.youtube.com/watch?v=Hk9-ofX19Ig,,,
P2,4NOo7JSK6eA,19,64b38072-cd1c-4f0f-a3e1-9958c8cb0736,"Funnel Drill","Throwing",https://www.youtube.com/watch?v=4NOo7JSK6eA,,,
P2,4NOo7JSK6eA,19,ce798b52-883f-4cf3-a6b8-311ef084a1be,"Funnel Drill — Correct Arm Path Out of the Glove","Throwing",https://www.youtube.com/watch?v=4NOo7JSK6eA,,,
