pathway,stage_number,stage_name,stage_objective,primary_drill_count,regression_count,reinforcement_count,progression_count,assessment_count,game_application_count,taxonomy_problem_count,mastery_signal_present,evidence_strength,status,gap_notes
build-the-swing,1,Athletic stance and posture,"Sets up balanced, athletic and repeatable without being reminded.",1,0,1,0,1,0,3,yes,strong,READY,
build-the-swing,2,Grip,"Holds the bat with the knocking knuckles roughly aligned, without adjusting mid-swing.",1,0,0,0,0,0,2,yes,weak,GAP,GAP. No drill in the library isolates the grip. The stance drill mentions it in passing and nothing rehearses it. A short grip station would be one row of new content and would close this properly; it is deliberately not invented here. Until then a coach should treat this as a teach-and-check inside stage 1 rather than as a stage with its own practice time.
build-the-swing,3,Load,"Moves weight into the back hip and can hold it there, without leaning backwards.",1,0,0,1,1,0,2,yes,strong,READY,
build-the-swing,4,"Load to launch, and the stride","Front foot lands with the hands still back, in a repeatable place, every swing.",1,1,1,0,0,0,4,yes,strong,READY,
build-the-swing,5,Lower-half sequencing,"Rotates around a centred axis with the hips leading, rather than sliding forward.",2,0,1,2,0,0,3,yes,strong,READY,
build-the-swing,6,Bat path,"Hands travel to the ball ahead of the barrel, with the elbow in and no loop.",2,1,2,1,1,0,4,yes,strong,READY,
build-the-swing,7,Contact point,Makes contact out in front of the front foot and drives the ball on a line.,1,0,1,1,0,0,3,yes,strong,READY,
build-the-swing,8,Timing a moving ball,"Tracks a moving ball and drives it on a line, with the head still through contact.",1,1,1,2,1,0,3,yes,strong,READY,
build-the-swing,9,Adjusting to pitch location,Changes posture and path to match the height and side of the pitch.,2,1,1,1,1,0,3,yes,moderate,READY,
build-the-swing,10,"Two strikes, and the at-bat",Changes approach with the count and puts the ball in play on purpose.,1,1,0,2,0,1,3,yes,strong,READY,
infield-fundamentals,1,Ready position and athletic posture,Gets low with the chest over the toes and stays there between reps.,1,0,2,0,0,0,2,yes,strong,READY,
infield-fundamentals,2,Glove presentation and receiving,Sets the glove before the ball arrives and covers with the throwing hand.,1,1,1,0,0,0,2,yes,strong,READY,
infield-fundamentals,3,Approach and getting around the ball,"Arrives at the ball moving forward, having taken an angle rather than a straight line.",2,0,1,1,0,0,2,yes,strong,READY,
infield-fundamentals,4,Reading hops,"Adjusts to a ball that does not bounce true, and receives the short hop with a soft glove.",1,0,1,1,0,0,1,yes,strong,THIN,"THIN. No drill in the library exists to teach hop reading for an infielder generally. The three attached each cover part of it — recovery after a bad hop, solo short hops off a wall, and a first-base-framed picking progression — and none of them is a general in-between-hop station. A drill that rolls balls at varied distances so the fielder has to choose to charge or drop back would close this; it is not invented here."
infield-fundamentals,5,Fielding out in front,"Meets the ball in front of the front foot, with the glove visible and the eyes on it.",1,1,1,0,0,0,2,yes,strong,READY,
infield-fundamentals,6,Funnel and transfer,"Gets the ball from glove to throwing hand in one motion, in front of the chest.",1,1,1,1,0,0,1,yes,strong,READY,
infield-fundamentals,7,Footwork into the throw,"Steps toward the target after fielding, with the body aligned before the arm works.",1,0,1,0,1,0,2,yes,strong,READY,
infield-fundamentals,8,Throwing accuracy after fielding,"Delivers a catchable, chest-high throw to a target after a live ground ball.",1,0,1,0,0,1,2,yes,strong,READY,
infield-fundamentals,9,"Range: forehand, backhand and lateral",Gets to balls either side of the body and still fields them cleanly.,1,0,1,1,0,0,1,yes,strong,READY,
infield-fundamentals,10,Game-speed decisions,"Makes the play under time pressure, including when the first attempt goes wrong.",1,0,1,1,0,0,2,yes,strong,READY,
infield-fundamentals,11,Position-specific play,Executes the plays their actual position is responsible for.,2,0,1,2,0,1,2,yes,strong,READY,
throwing-development,1,Grip and a clean release,Finds a four-seam grip without looking and lets the ball go without fear.,1,1,1,0,0,0,2,yes,moderate,READY,
throwing-development,2,Basic arm action,Takes the ball down and through with the elbow at shoulder height and a wrist snap.,2,1,0,1,0,0,4,yes,strong,READY,
throwing-development,3,Direction and alignment,Lines the body up at the target before the arm works.,2,0,1,0,0,0,1,yes,strong,READY,
throwing-development,4,Lower-half involvement,Uses the legs and torso so the throw is not made by the arm alone.,1,1,0,1,0,0,2,yes,strong,READY,
throwing-development,5,Catch-and-throw rhythm,"Catches cleanly and throws back with full mechanics, repeatedly.",1,1,2,1,1,0,2,yes,strong,READY,
throwing-development,6,Throwing footwork,Gets the feet organised on the move so the throw can be made from anywhere.,1,1,1,0,0,0,2,yes,moderate,READY,
throwing-development,7,Quick transfer,Releases without a visible pause between the catch and the throw.,2,0,2,0,0,0,1,yes,strong,READY,
throwing-development,8,Accuracy,Throws at a specific spot and keeps doing so under mild pressure.,1,1,0,1,0,1,2,yes,strong,READY,
throwing-development,9,Distance and long toss,"Builds arm strength at distance with an arc, and looks after the arm afterwards.",1,0,3,1,0,0,3,yes,strong,READY,
throwing-development,10,Game-speed throws,"Keeps the mechanics under real urgency, after a real play.",1,0,1,1,0,0,3,yes,strong,READY,
throwing-development,11,Position-specific throwing,Makes the throws their position is actually asked for.,2,0,0,1,0,1,2,yes,strong,READY,
outfield-development,1,Ready position and first step,"Is moving on contact rather than watching, with the first step taking ground.",1,0,1,0,0,0,2,yes,strong,THIN,"THIN. There is no dedicated outfield ready-position drill in the library. ""On the Run"" covers the first step by implication because the player is already moving, and the drop-step drill covers it for balls hit overhead. Neither teaches the pre-pitch position itself. A short station — get into position on the pitch, react to a called direction — would close it."
outfield-development,2,Drop step,"Opens the hips and turns to run on a ball hit overhead, rather than backpedalling.",1,0,0,1,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, progression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
outfield-development,3,Tracking a ball in the air,Keeps eyes on the ball into the glove and arrives set rather than still moving.,1,0,1,1,0,0,2,yes,strong,READY,
outfield-development,4,Catch confidence,Catches a ball coming down without flinching or turning away.,1,2,0,0,0,0,2,yes,strong,READY,
outfield-development,5,Angles and routes,"Runs an efficient route to where the ball will be, not to where it is.",2,1,0,0,0,0,1,yes,strong,READY,
outfield-development,6,Communication,"Calls the ball early and loudly, and yields audibly when called off.",1,0,1,1,0,0,1,yes,strong,READY,
outfield-development,7,Ground-ball approach,Fields a ball on the ground in the outfield while moving through it.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. One genuine outfield ground-ball drill exists, and it is the highest-urgency version of the play. There is nothing for the routine single, the ball to the fence, or the knee-down block the library itself references. Those are three rows of new content; they are not invented here."
outfield-development,8,Crow hop and throwing footwork,Gets the whole body behind a long throw after catching.,1,0,2,0,0,0,2,yes,strong,READY,
outfield-development,9,Throws to bases and the cutoff,Throws through the cutoff man to the right base.,2,0,0,2,0,0,1,yes,strong,READY,
outfield-development,10,Do or die,"Charges, fields on the move and throws home with the game on the line.",1,1,0,0,0,0,1,yes,moderate,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
outfield-development,11,Decision-making under pressure,"Picks the right base, the right call and the right risk, without being told.",1,0,1,0,0,1,2,yes,strong,READY,
pitching-development,1,Prepare the arm,"Warms up and recovers the same way every outing, without being told.",1,1,2,1,0,0,2,yes,strong,READY,
pitching-development,2,Balance at the leg lift,Holds the top of the delivery still for two seconds without wobbling.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,3,"The delivery, in parts",Can be stopped at any checkpoint of the motion and hold that position.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,4,Hip lead and separation,Moves the front hip toward the plate before the shoulders follow.,2,0,0,1,0,0,3,yes,strong,READY,
pitching-development,5,Stride direction and landing,"Lands the front foot in the same place, pointing the same way, every pitch.",2,0,0,0,0,0,3,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,6,Front side control,Pulls the glove into the ribs so the chest drives at the target.,1,0,0,0,1,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: assessment, primary), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,7,Arm action and wrist snap,"Moves the arm loosely and snaps the wrist, producing tight backspin.",1,1,1,0,0,0,4,yes,strong,READY,
pitching-development,8,Release point and extension,Releases the ball at the same point out front on every pitch.,1,1,0,0,0,0,3,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,9,Finish and follow-through,"Finishes balanced, decelerated, and ready to field.",1,1,0,0,0,0,2,yes,moderate,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,10,Momentum and tempo,Moves down the mound with rhythm rather than from a standstill.,1,1,0,0,0,0,2,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
pitching-development,11,A second pitch,Throws a changeup for a strike with the same arm speed as the fastball.,1,0,0,0,0,0,1,yes,strong,THIN,"THIN. The library has one changeup drill and nothing else for a second pitch. That is a defensible place to stop at this age — no breaking balls is a coaching position, not an omission — but a coach wanting to progress the changeup onto the mound has only the drill's own progression notes to work from."
catching-development,1,Quiet glove and soft hands,"Receives the ball moving toward the zone, with the glove quiet after the catch.",1,1,0,0,0,0,1,yes,moderate,THIN,THIN. One genuine catching drill and one borrowed from Throwing. A coach running this stage twice runs the same session twice.
catching-development,2,Framing and working the zone,Beats the ball to the spot and holds borderline pitches inside the zone.,1,1,0,0,0,0,1,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
catching-development,3,Blocking: the shape,Drops into a blocking shape that deadens the ball in front of the plate.,1,0,0,0,0,0,1,yes,strong,THIN,"THIN. One drill serves this stage. Its own three internal stages carry it, but a coach has no alternative station to rotate to."
catching-development,4,Blocking at game speed,Reads and blocks a ball in the dirt without pre-setting to a side.,1,1,0,0,0,0,1,yes,strong,THIN,"THIN. Only 2 drill(s) serve this stage (roles: primary, regression), so a coach running it twice runs the same session twice. The library, not the sequence, is what is short here. Computed, not declared."
