pathway,stage_number,stage_name,stage_objective,primary_drill_count,regression_count,reinforcement_count,progression_count,assessment_count,game_application_count,taxonomy_problem_count,mastery_signal_present,status,gap_notes
baserunning-development,1,Out of the box,"Moves toward first on contact, without watching the ball.",1,0,2,0,0,0,2,yes,READY,
baserunning-development,2,Through it or around it,Decides before the bag whether to run through first or round it.,1,1,0,0,0,0,2,yes,THIN,
baserunning-development,3,Turns and angles,Hits the inside corner of each base and stays low through the turn.,1,0,2,0,0,0,2,yes,READY,
baserunning-development,4,Sliding: the shape,Slides on the seat in a figure-four with both hands up.,1,0,1,0,0,0,1,yes,THIN,
baserunning-development,5,Sliding to advance,Finishes the slide on their feet and reads whether to take the next base.,1,1,1,0,0,0,2,yes,READY,
baserunning-development,6,Leads,Takes a primary and a secondary lead timed to the pitch.,2,1,1,0,0,0,2,yes,READY,
baserunning-development,7,Reading the pitcher,"Breaks on the pitcher's first move toward home, not on a guess.",1,1,0,1,0,0,1,yes,READY,
baserunning-development,8,Tagging up,"Leaves on the catch — not before it, not a beat after.",1,0,0,0,0,0,1,yes,THIN,"THIN. One drill serves this stage. Its own three rounds carry the progression, but a coach has no second station to rotate a group through."
baserunning-development,9,Reading a ball in the dirt,Advances only when the ball actually gets past the catcher.,1,1,0,0,0,0,2,yes,THIN,
baserunning-development,10,Running the bases in a game,Makes the right call on every base without a coach telling them.,1,0,2,0,0,1,3,yes,READY,
build-the-swing,1,Athletic stance and posture,"Sets up balanced, athletic and repeatable without being reminded.",1,0,1,0,1,0,3,yes,READY,
build-the-swing,2,Grip,"Holds the bat with the knocking knuckles roughly aligned, without adjusting mid-swing.",1,0,1,0,0,0,2,yes,THIN,
build-the-swing,3,Load,"Moves weight into the back hip and can hold it there, without leaning backwards.",1,0,0,1,1,0,2,yes,READY,
build-the-swing,4,"Load to launch, and the stride","Front foot lands with the hands still back, in a repeatable place, every swing.",1,1,1,0,0,0,4,yes,READY,
build-the-swing,5,Lower-half sequencing,"Rotates around a centred axis with the hips leading, rather than sliding forward.",2,0,1,2,0,0,3,yes,READY,
build-the-swing,6,Bat path,"Hands travel to the ball ahead of the barrel, with the elbow in and no loop.",2,1,2,1,1,0,4,yes,READY,
build-the-swing,7,Contact point,Makes contact out in front of the front foot and drives the ball on a line.,1,0,1,1,0,0,3,yes,READY,
build-the-swing,8,Timing a moving ball,"Tracks a moving ball and drives it on a line, with the head still through contact.",1,1,1,2,1,0,3,yes,READY,
build-the-swing,9,Adjusting to pitch location,Changes posture and path to match the height and side of the pitch.,2,1,1,1,1,0,3,yes,READY,
build-the-swing,10,"Two strikes, and the at-bat",Changes approach with the count and puts the ball in play on purpose.,1,1,0,2,0,1,3,yes,READY,
catching-development,1,Quiet glove and soft hands,"Receives the ball moving toward the zone, with the glove quiet after the catch.",1,2,0,0,0,0,1,yes,READY,
catching-development,2,Framing and working the zone,Beats the ball to the spot and holds borderline pitches inside the zone.,1,1,0,0,0,0,1,yes,THIN,
catching-development,3,Blocking: the shape,Drops into a blocking shape that deadens the ball in front of the plate.,1,0,0,0,0,0,1,yes,THIN,"THIN. One drill serves this stage. Its own three internal stages carry it, but a coach has no alternative station to rotate to."
catching-development,4,Blocking at game speed,Reads and blocks a ball in the dirt without pre-setting to a side.,1,1,0,0,0,0,1,yes,THIN,
catching-development,5,The throw to second,Transfers during the footwork and delivers an accurate throw to the bag.,1,1,1,0,0,0,2,yes,READY,
catching-development,6,The one-knee setup,Receives from one knee while staying able to block and throw.,1,1,0,0,0,0,1,yes,THIN,
infield-fundamentals,1,Ready position and athletic posture,Gets low with the chest over the toes and stays there between reps.,1,0,2,0,0,0,2,yes,READY,
infield-fundamentals,2,Glove presentation and receiving,Sets the glove before the ball arrives and covers with the throwing hand.,1,1,1,0,0,0,2,yes,READY,
infield-fundamentals,3,Approach and getting around the ball,"Arrives at the ball moving forward, having taken an angle rather than a straight line.",2,0,1,1,0,0,2,yes,READY,
infield-fundamentals,4,Reading hops,"Adjusts to a ball that does not bounce true, and receives the short hop with a soft glove.",2,0,1,1,0,0,1,yes,READY,
infield-fundamentals,5,Fielding out in front,"Meets the ball in front of the front foot, with the glove visible and the eyes on it.",1,1,1,0,0,0,2,yes,READY,
infield-fundamentals,6,Funnel and transfer,"Gets the ball from glove to throwing hand in one motion, in front of the chest.",1,1,1,1,0,0,1,yes,READY,
infield-fundamentals,7,Footwork into the throw,"Steps toward the target after fielding, with the body aligned before the arm works.",1,0,1,0,1,0,2,yes,READY,
infield-fundamentals,8,Throwing accuracy after fielding,"Delivers a catchable, chest-high throw to a target after a live ground ball.",1,0,1,0,0,1,2,yes,READY,
infield-fundamentals,9,"Range: forehand, backhand and lateral",Gets to balls either side of the body and still fields them cleanly.,1,0,1,1,0,0,1,yes,READY,
infield-fundamentals,10,Game-speed decisions,"Makes the play under time pressure, including when the first attempt goes wrong.",1,0,1,1,0,0,2,yes,READY,
infield-fundamentals,11,Position-specific play,Executes the plays their actual position is responsible for.,2,0,1,2,0,1,2,yes,READY,
outfield-development,1,Ready position and first step,"Is moving on contact rather than watching, with the first step taking ground.",1,0,2,0,0,0,2,yes,READY,
outfield-development,2,Drop step,"Opens the hips and turns to run on a ball hit overhead, rather than backpedalling.",1,0,0,1,0,0,2,yes,THIN,
outfield-development,3,Tracking a ball in the air,Keeps eyes on the ball into the glove and arrives set rather than still moving.,1,0,1,1,0,0,2,yes,READY,
outfield-development,4,Catch confidence,Catches a ball coming down without flinching or turning away.,1,2,0,0,0,0,2,yes,READY,
outfield-development,5,Angles and routes,"Runs an efficient route to where the ball will be, not to where it is.",2,1,0,0,0,0,1,yes,READY,
outfield-development,6,Communication,"Calls the ball early and loudly, and yields audibly when called off.",1,0,1,1,0,0,1,yes,READY,
outfield-development,7,Ground-ball approach,Fields a ball on the ground in the outfield while moving through it.,1,1,0,1,0,0,2,yes,READY,"The routine ground ball and the knee-down block are now covered by their own row, and do-or-die has moved to the progression slot it belongs in. Still missing: the ball played off a fence. That is deferred rather than forgotten — most fields these teams play on have no fence, so the leverage is low."
outfield-development,8,Crow hop and throwing footwork,Gets the whole body behind a long throw after catching.,1,0,2,0,0,0,2,yes,READY,
outfield-development,9,Throws to bases and the cutoff,Throws through the cutoff man to the right base.,2,0,0,2,0,0,1,yes,READY,
outfield-development,10,Do or die,"Charges, fields on the move and throws home with the game on the line.",1,1,0,0,0,0,1,yes,THIN,
outfield-development,11,Decision-making under pressure,"Picks the right base, the right call and the right risk, without being told.",1,0,1,0,0,1,2,yes,READY,
pitching-development,1,Prepare the arm,"Warms up and recovers the same way every outing, without being told.",1,1,2,1,0,0,2,yes,READY,
pitching-development,2,Balance at the leg lift,Holds the top of the delivery still for two seconds without wobbling.,1,1,0,0,0,0,2,yes,THIN,
pitching-development,3,"The delivery, in parts",Can be stopped at any checkpoint of the motion and hold that position.,1,2,0,0,0,0,2,yes,READY,
pitching-development,4,Hip lead and separation,Moves the front hip toward the plate before the shoulders follow.,2,0,0,1,0,0,3,yes,READY,
