drill_name,category,difficulty,progression,minutes,confidence,basis,evidence
"High Tee Drill","Hitting","Intermediate",3,10,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base +1m equipment"
"PVC Posture Drill","Hitting","Intermediate",3,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base"
"Load to Launch Drill","Hitting","Intermediate",3,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base"
"Don't Dump the Barrel","Hitting","Intermediate",3,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base"
"Baby Steps - Hip Load","Hitting","Beginner",2,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x0.9 pace, setup 3m base"
"Freeze at Extension Drill","Hitting","Intermediate",3,8,LOW,"category model","no reps_guidance; Hitting assumed 27 reps @ 12s x1 pace, setup 3m base"
"How to Soft Toss","Soft Toss","Intermediate",3,8,LOW,"category model","no reps_guidance; Soft Toss assumed 24 reps @ 10s x1 pace, setup 3m base"
"Ripken Soft Toss Drill","Soft Toss","Intermediate",3,8,LOW,"category model","no reps_guidance; Soft Toss assumed 24 reps @ 10s x1 pace, setup 3m base"
"Sunflower Seed Soft Toss","Soft Toss","Beginner",2,8,LOW,"category model","no reps_guidance; Soft Toss assumed 24 reps @ 10s x0.9 pace, setup 3m base +1m equipment"
"Two Balls Toss Drill","Soft Toss","Advanced",4,10,LOW,"category model","no reps_guidance; Soft Toss assumed 24 reps @ 10s x1.25 pace, setup 3m base +2m game speed"
"How to Bunt Like a PRO","Bunting","Intermediate",3,8,LOW,"category model","no reps_guidance; Bunting assumed 24 reps @ 10s x1 pace, setup 3m base"
"Bunting with Lacrosse Stick","Bunting","Intermediate",3,8,LOW,"category model","no reps_guidance; Bunting assumed 24 reps @ 10s x1 pace, setup 3m base"
"5 Youth Pitching Drills From Your Knees","Pitching","Beginner",2,8,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x0.9 pace, setup 4m base +1m Medium"
"Indoor Team Pitching Drills","Pitching","Intermediate",3,10,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1 pace, setup 4m base +2m Medium-large"
"Rotational Efficiency Drills","Pitching","Advanced",4,12,LOW,"category model","no reps_guidance; Pitching assumed 11 reps @ 20s x1.25 pace, setup 4m base +1m Medium +2m game speed"
"Fun Baseball Throwing Drill","Throwing","Beginner",2,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Simple Throwing Progressions","Throwing","Beginner",2,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"Second Baseman Flip/Throw Combo","Throwing","Intermediate",3,8,LOW,"category model","no reps_guidance; Throwing assumed 20 reps @ 10s x1 pace, setup 3m base +1m Medium"
"The Flamingo Drill","Fielding (Infield)","Beginner",2,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x0.9 pace, setup 3m base +1m Medium"
"Youth Infield Drill (Practice Anywhere)","Fielding (Infield)","Beginner",2,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x0.9 pace, setup 3m base +1m Medium"
"How to Bunt - Youth Skills","Bunting","Beginner",2,8,MED,"reps","reps_guidance ""3 sets of 8 bunts (sacrifice + for a hit)"" -> 24 reps @ 10s x0.9 pace, setup 3m base"
"Infield Throwing Drill","Fielding (Infield)","Intermediate",3,10,LOW,"category model","no reps_guidance; Fielding (Infield) assumed 24 reps @ 15s x1 pace, setup 3m base +1m Medium"
