drill_id,drill_name,skill_category,instructions_complete,primary_media_present,primary_media_verified,specific_timestamp,generic_compilation,no_media,media_count,drills_sharing_primary_video
4106c25c-beeb-4d11-b1aa-eb9aa85978ae,"Pro Base-Stealing Package — Leads, Reads & Jumps",Baserunning,yes,yes,no,no,no,no,2,1
73f5fef2-af64-4577-998d-da854cebb0cf,Crow Hop — Arm Strength and Outfield Throwing,Throwing,yes,yes,no,no,yes,no,2,4
2a82682f-f56c-527b-ba67-b57bd5a62e4d,Stride Box,Hitting,yes,no,no,no,no,yes,0,0
e6299ad6-888e-5507-a5a5-57cdf5359996,Turn and Take It,Hitting,yes,no,no,no,no,yes,0,0
a648dcab-45b3-4c81-9ed4-f29eaea4323e,Bunting with Lacrosse Stick,Bunting,no,yes,no,no,no,no,1,1
62b2ed36-03da-4e9d-a424-1d94620fde7d,Machine-Fed Relay Sequences at Game Speed,Team Defense,yes,yes,no,no,no,no,1,1
367642e8-dfd4-4988-90e5-f2c4d10b3401,Catcher Throw-Down Footwork to Second,Catching,yes,yes,no,no,no,no,2,1
e7bd95b6-d491-49e2-a383-7fc381e7b0ce,Youth Receiving Foundations — Quiet Glove & Soft Hands,Catching,yes,yes,no,no,no,no,2,1
0dba3ce4-0df5-4905-b95b-09705a5595d5,Call It Early — Outfield Communication Basics,Fielding (Fly Balls),yes,yes,no,no,no,no,1,1
9847fa60-e5cd-53af-9831-5c6424dfe80c,Drop Ball Drill,Hitting,yes,no,no,no,no,yes,0,0
2f3326af-9848-534e-9cc2-3d0f628c1162,Recovery Drill,Fielding (Infield),yes,no,no,no,no,yes,0,0
daea5efc-42ce-4a83-9f07-a867dd6fbddd,Do-or-Die Charge & Throw,Fielding (Fly Balls),yes,yes,no,no,no,no,2,1
7ae1f28a-6e16-4163-b481-1b89226397eb,Infield/Outfield Priority Drill,Fielding (Fly Balls),yes,yes,no,no,no,no,1,1
f3ca0dde-8e0c-56f3-8791-29c0e51045f2,"Grounder to First, Pitcher Covers",Team Defense,yes,no,no,no,no,yes,0,0
07a59bb9-1b7c-554a-a1f1-98f4af671e21,On the Run,Fielding (Fly Balls),yes,no,no,no,no,yes,0,0
808e703f-d60e-4a0b-8cbd-845bcb4cc1bb,Game-Speed Reaction Blocking,Catching,yes,yes,no,no,no,no,2,1
282be624-51e9-4a06-ab37-7646b0a3da8b,Sliding Practice Stations,Baserunning,yes,yes,no,no,no,no,1,1
3013e235-fd0a-5e1a-82a8-94bd2384f9d4,Fly Ball Confidence Ladder,Fielding (Fly Balls),yes,no,no,no,no,yes,0,0
d358d3cd-7da8-5baf-9843-3fe2a81a6773,Swing and Sprint,Baserunning,yes,no,no,no,no,yes,0,0
6c655fff-6181-4b7b-b22b-e1401e2e1f27,Stay Back — Beat the Changeup,Hitting,yes,yes,no,no,no,no,1,1
5f398d5c-6377-4119-b5b7-99b81f4b8028,MLB-Style Receiving & Framing Circuit,Catching,yes,yes,no,no,no,no,1,1
92366675-97a6-5d04-b3b6-5a2909ce858f,First Base Decision,Baserunning,yes,no,no,no,no,yes,0,0
3e15ab9d-f443-5a82-87df-8c4cc418c2e6,Progressive Tag Up,Baserunning,yes,no,no,no,no,yes,0,0
cf43c787-c5f1-4188-9aff-e574b2b08c0a,Deaden & Direct — Bunt Placement Drill,Bunting,yes,yes,no,no,no,no,1,1
3f65e53c-eebc-511c-89a9-23e519dffba0,Wild Pitch Advance,Baserunning,yes,no,no,no,no,yes,0,0
41ff62cc-fb54-4266-8d0c-083a1c341161,Follow-Through Hold Drill — Finishing Strong,Pitching,yes,yes,no,no,yes,no,1,10
ffc26e2a-7801-42b7-b610-9a996527e638,Square Hips / Hip Lock Drill — Hip-Shoulder Separation,Pitching,yes,yes,no,no,yes,no,1,19
25b42f9f-7769-47ac-ad0e-f9140091660e,The Lawnmower Drill — Arm Action & Wrist Snap,Pitching,yes,yes,no,no,no,no,1,1
03eab7d0-7e67-4143-91e5-b8e4e783014a,The Rocker Drill — Hip Lead & Weight Shift,Pitching,yes,yes,no,no,yes,no,1,19
4148cfe0-4a27-4abc-a754-dcd5f2544f0e,Shoulder Swings — Stay Short to the Ball,Hitting,yes,yes,no,no,yes,no,1,6
fe94a671-1d24-40fe-9771-4c7f5f708c14,Soft Toss,Hitting,yes,yes,no,no,yes,no,2,3
1f64a6c2-11bd-40d4-a45d-ae028f83db91,Two Balls Toss Drill,Soft Toss,yes,yes,no,no,no,no,1,1
2db609fb-e152-400c-8927-038809eb062f,Competitive Team Bunting Game,Bunting,yes,yes,no,no,no,no,1,1
012241e0-c2ce-4a32-b037-39f90bd35437,Extreme Catch — Progressive Distance Arm Builder,Throwing,yes,yes,no,no,yes,no,1,10
fac499f5-7d4b-49b2-a924-55c97a96eeef,Sunflower Seed Soft Toss,Soft Toss,yes,yes,no,no,no,no,1,1
