collection_drill_id,collection_name,skill_category,source_video,candidate_activity_name,candidate_canonical_match,canonical_match_id,action,timestamp_candidate,timestamp_evidence,notes
a1914ed5-c1e1-4123-ad4c-66685131199b,Top 5 Blocking Drills for Catchers,Catching,Tjzv5anKEe0,Pre-Set Blocks,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named in the video description. A static start position before any movement — the first rung of a blocking progression the library has no rows for.
a1914ed5-c1e1-4123-ad4c-66685131199b,Top 5 Blocking Drills for Catchers,Catching,Tjzv5anKEe0,Side-to-Side Slides,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named. Lateral blocking movement; distinct from the pre-set because the catcher has to move to the ball.
a1914ed5-c1e1-4123-ad4c-66685131199b,Top 5 Blocking Drills for Catchers,Catching,Tjzv5anKEe0,Twist and Block,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named. Angling the chest back toward the plate — the rule that turns a blocked ball into a controlled one.
a1914ed5-c1e1-4123-ad4c-66685131199b,Top 5 Blocking Drills for Catchers,Catching,Tjzv5anKEe0,Inch Worms,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named. A conditioning-and-recovery pattern between blocks.
a1914ed5-c1e1-4123-ad4c-66685131199b,Top 5 Blocking Drills for Catchers,Catching,Tjzv5anKEe0,Rapid Fire,Game-Speed Reaction Blocking,808e703f-d60e-4a0b-8cbd-845bcb4cc1bb,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named as the final rung. The library already holds a game-speed read-and-react blocking drill; attach this video as a second angle rather than adding a row.
01316f5d-8ea2-451f-a243-5e5edbd47d74,Catcher Footwork Skills and Drills,Catching,y4Ep5hji9TI,Receiving stance,Youth Receiving Foundations — Quiet Glove & Soft Hands,e7bd95b6-d491-49e2-a383-7fc381e7b0ce,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Description names the stance segment; the existing row covers it.
01316f5d-8ea2-451f-a243-5e5edbd47d74,Catcher Footwork Skills and Drills,Catching,y4Ep5hji9TI,Secondary stance with runners on,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass","Named and genuinely absent. The stance change when a runner is on is a decision point, not a variation of the primary stance."
01316f5d-8ea2-451f-a243-5e5edbd47d74,Catcher Footwork Skills and Drills,Catching,y4Ep5hji9TI,Quick transfer catch-to-throw,,,NEW_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named. The library has a throw-down to second but nothing isolating the transfer itself.
01316f5d-8ea2-451f-a243-5e5edbd47d74,Catcher Footwork Skills and Drills,Catching,y4Ep5hji9TI,Pop-up footwork to second,Catcher Throw-Down Footwork to Second,367642e8-dfd4-4988-90e5-f2c4d10b3401,EXISTING_CANONICAL,,"none — no transcript, chapter data or verified viewing in this pass",Named; the existing row is the same activity.
fe58cb41-277b-4757-bd46-dc78206d4d45,3 Simple Framing Drills for Catchers,Catching,Kwo1k2i-tSE,Three progressive framing drills,MLB-Style Receiving & Framing Circuit,5f398d5c-6377-4119-b5b7-99b81f4b8028,NEEDS_REVIEW,,"none — no transcript, chapter data or verified viewing in this pass","Three drills, none named. The library holds a five-drill framing circuit that may already contain all three — needs somebody to watch both before splitting."
