drill_id,current_name,skill_category,disposition,canonical_target_name,canonical_target_id,proposed_family_slug,proposed_variation_type,proposed_resource_kind,schedulable_after,preserve_current_video,source_video_id,source_video_url,confidence,rationale,requires_manual_review
9d95c228-0f42-487d-bfa0-164df2646c50,9-Exercise J-Band Strength Routine,Arm Care,PRACTICE_UNIT,,,,,practice_unit,yes,yes,slqo583qoAg,https://www.youtube.com/watch?v=slqo583qoAg,high,"Nine-exercise J-band routine run as one block, not one drill.",no
977c1fd1-12b0-42c6-8b8b-e3a90303e385,Baseball Arm Stretches and Pre-Throwing Warm-Up,Arm Care,PRACTICE_UNIT,,,,,practice_unit,yes,yes,5GY4nLILbi4,https://www.youtube.com/watch?v=5GY4nLILbi4,high,Stretch plus throwing warm-up sequence run as one block.,no
dfa91c84-6ce8-4d03-9c5d-4252adc5fe3d,Complete Pitching and Throwing Warm-Up Routine,Arm Care,PRACTICE_UNIT,,,,,practice_unit,yes,yes,WQ9ggLQJ96M,https://www.youtube.com/watch?v=WQ9ggLQJ96M,high,"Complete pre-throwing routine; a sequence, not an activity.",no
b67499b8-314b-415f-a789-c0b90f1f9a3f,Post-Throwing Recovery Routine,Arm Care,PRACTICE_UNIT,,,,,practice_unit,yes,yes,EunHAooYktE,https://www.youtube.com/watch?v=EunHAooYktE,high,Eight post-outing recovery exercises run as one block.,no
ce379eeb-fa92-47f0-b41f-dd3831ebc5bc,Youth J-Band Routine — Pre-Throwing Activation,Arm Care,PRACTICE_UNIT,,,,,practice_unit,yes,yes,yrgUzW0UK40,https://www.youtube.com/watch?v=yrgUzW0UK40,high,J-band activation routine. Same concept as 9d95c228 on a different video — family deferred to Phase 2.,no
32d3b75f-3d94-4048-b1e1-26a3d87e9449,Base Running Athletic Circuit,Athletic Development,PRACTICE_UNIT,,,,,practice_unit,yes,yes,5hYYRufn40s,https://www.youtube.com/watch?v=5hYYRufn40s,medium,Baserunning circuit combining several movements; run as a unit.,no
b194ff1d-f857-47d5-911c-0bab06c6e6bc,Baseball Dynamic Stretches for Youth Players,Athletic Development,PRACTICE_UNIT,,,,,practice_unit,yes,yes,MNouzjZQ4wo,https://www.youtube.com/watch?v=MNouzjZQ4wo,high,Dynamic stretching routine run as one block.,no
bca3c9cb-536d-4066-b9d5-5d960f4eb9a7,5-Point Baserunning Checklist Drill,Baserunning,TEACHING_CONTENT,,,,,teaching_content,no,yes,k9ihDpMSAdM,https://www.youtube.com/watch?v=k9ihDpMSAdM,medium,"A five-point mental checklist for the runner, not an arrangement of players.",yes
ecf4c61b-0b8b-49bd-bbe5-697d42991d79,Base Running Circuit,Baserunning,MERGE_INTO,Base Running Athletic Circuit,32d3b75f-3d94-4048-b1e1-26a3d87e9449,,,practice_unit,yes,yes,5hYYRufn40s,https://www.youtube.com/watch?v=5hYYRufn40s,medium,Same circuit and same video as 32d3b75f; thinner row. Non-pilot: recorded only.,yes
b610bf25-fbc7-46e3-9c8a-16e07224bf70,Bent-Leg Slide Basics — The Right Way to Slide,Baserunning,KEEP_CANONICAL,,,sliding,base,activity,yes,yes,h_mEnVPL6Qg,https://www.youtube.com/watch?v=h_mEnVPL6Qg,high,Already the base of the sliding family. Concrete technique with a rep setting.,no
b2de2724-cd95-417e-ad7a-d6df5e55b34d,Fastest Technique Running Out of the Box,Baserunning,TEACHING_CONTENT,,,,,teaching_content,no,yes,tduq0roBxl0,https://www.youtube.com/watch?v=tduq0roBxl0,medium,"Teaches a technique out of the box; no setup, no rep pattern.",yes
92366675-97a6-5d04-b3b6-5a2909ce858f,First Base Decision,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,,,high,"Through the bag or around it, decided while moving. No row covered the choice.",no
23a37283-c85e-4564-a48a-eaad8a691f78,How to Add Base Running Into Practice,Baserunning,TEACHING_CONTENT,,,,,teaching_content,no,yes,Hk9-ofX19Ig,https://www.youtube.com/watch?v=Hk9-ofX19Ig,high,"Coach education on structuring practice, not an activity for players.",no
5357926b-8cb2-4ca4-86e7-ee389f6793d5,How to Run the Bases — Pro Tips,Baserunning,TEACHING_CONTENT,,,,,teaching_content,no,yes,bWt9YWZiJps,https://www.youtube.com/watch?v=bWt9YWZiJps,high,Demonstrates technique across several situations; no runnable arrangement.,no
9335a346-33a3-4bd1-b65c-2664f9c7fcfb,Pop-Up Slide — Slide and Advance,Baserunning,KEEP_CANONICAL,,,sliding,progression,activity,yes,yes,wMZkEfiFBxc,https://www.youtube.com/watch?v=wMZkEfiFBxc,high,Already the sliding family progression.,no
4106c25c-beeb-4d11-b1aa-eb9aa85978ae,"Pro Base-Stealing Package — Leads, Reads & Jumps",Baserunning,PRACTICE_UNIT,,,,,practice_unit,yes,yes,iZK-Rtp1bv4,https://www.youtube.com/watch?v=iZK-Rtp1bv4,medium,"Called a package: leads, reads and jumps run together.",yes
3e15ab9d-f443-5a82-87df-8c4cc418c2e6,Progressive Tag Up,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,,,high,Tagging up. Nothing in 211 rows mentioned it.,no
b9bb75c7-9ed0-47ee-9d11-2de953510027,Secondary Lead & Delayed Steal,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,SXfbP6x3iXI,https://www.youtube.com/watch?v=SXfbP6x3iXI,medium,"Concrete: timing shuffles with the pitch, reading the catcher.",no
35a5e10e-9713-4887-ad07-030b421db06f,Simple Base Running Drills for Youth Practice,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,hdyY3AoSkyk,https://www.youtube.com/watch?v=hdyY3AoSkyk,high,"Plural title but one activity — three angled cones, one setup. Name is not evidence.",no
a9b479c8-a255-4886-b35f-02986820de03,Skills and Drills for Baserunning,Baserunning,SOURCE_COLLECTION,,,,,source_collection,no,yes,k7OgmDDosck,https://www.youtube.com/watch?v=k7OgmDDosck,high,"Comprehensive coverage of leads, reading pitchers and sliding — three subjects.",no
282be624-51e9-4a06-ab37-7646b0a3da8b,Sliding Practice Stations,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,e_q6AWdgabQ,https://www.youtube.com/watch?v=e_q6AWdgabQ,high,Station-based sliding reps: a concrete arrangement.,no
f9d5d796-ce11-4964-bc70-a3ce5f8a607f,Steal Breaks — Reading the Pitcher & First Move,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,JVwDSgbUfBM,https://www.youtube.com/watch?v=JVwDSgbUfBM,high,One concrete skill with a read and a first move.,no
d358d3cd-7da8-5baf-9843-3fe2a81a6773,Swing and Sprint,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,,,high,Attaches the sprint to the swing. Baserunning held 13 rows and nothing joining the two.,no
3f65e53c-eebc-511c-89a9-23e519dffba0,Wild Pitch Advance,Baserunning,KEEP_CANONICAL,,,,,activity,yes,yes,,,high,Reading a ball in the dirt. Nothing in 211 rows mentioned it.,no
