query,hits,tier1,tier2,tier3,tier4,tier5,best_tier,top_result,matched_problem
dropping hands,12,0,5,0,4,3,2,Don't Dump the Barrel,uppercutting
afraid of fly balls,8,0,0,0,0,8,5,Call It Early — Outfield Communication Basics,outfield-communication
throwing accuracy,18,2,0,7,4,5,1,Bullseye Challenge — Throwing Accuracy Competition,
quick hands,8,2,0,1,5,0,1,Quick Hands Drill,
first base decision,9,1,0,2,1,5,1,First Base Decision,
two strike,5,1,1,0,1,2,1,Two-Strike Hitting Adjustment Drill,
bad hops,1,0,0,1,0,0,3,Recovery Drill,
footwork,30,3,18,3,2,4,1,Catcher Throw-Down Footwork to Second,
warmup,24,5,6,1,3,9,1,8 Baseball Warm-Up Exercises You Must Do,
no equipment,4,0,0,2,0,2,3,Baseball Arm Stretches and Pre-Throwing Warm-Up,
rebellion,0,,,,,,,,
youtube,0,,,,,,,,
hqdefault,0,,,,,,,,
