rank,band,video_id,url,drills_backed,schedulable_drills,why,drill_names
1,P1,4NOo7JSK6eA,https://www.youtube.com/watch?v=4NOo7JSK6eA,19,14,compilation backing 14 schedulable drills,Funnel Drill — Correct Arm Path Out of the Glove | Glove-Side Pull Drill — Front Side Control | High Five Drill — Elbow Up Arm Path Correction | Hip Lead Drill | Long Toss | Long Toss Progression — Building Arm Strength Safely | Quick Hands Drill | Quick Hands Quick Feet — Fast Transfer Drill | Square Hips / Hip Lock Drill — Hip-Shoulder Separation | The Heel-Toe Drill — Front Foot Landing | The Rocker Drill — Hip Lead & Weight Shift | The Swing Shuffle Drill — Momentum & Rhythm | Wall Ball | Wall Ball Solo Drill — Partner-Free Mechanics Builder | Funnel Drill | How to Throw a Baseball — Complete Beginner Mechanics | Rocker Drill | The Rocker Drill for Pitching | Youth Pitching Mechanics — Complete Step-by-Step Breakdown
2,P1,YRAjMC5F4sg,https://www.youtube.com/watch?v=YRAjMC5F4sg,10,8,compilation backing 8 schedulable drills,Bullseye Challenge — Throwing Accuracy Competition | Clean Up Crew — Fun Fielding-to-Throw Game | Extreme Catch — Progressive Distance Arm Builder | Foul Line Throw — First Throw Introduction for Beginners | Over-Under — Two Ways to Throw and Catch | Point-and-Go Glove Drill — Align Your Body to the Target | Selfies Solo Rebounder — Build Reps Without a Partner | The Ankle Eye Drill — Footwork Foundation | 10 Best Baseball Throwing Drills for Kids | 10 Best Baseball Throwing Drills for Kids — Full Progression
3,P1,77r6mWAUecA,https://www.youtube.com/watch?v=77r6mWAUecA,10,8,compilation backing 8 schedulable drills,"High Tee | High Tee Drill — Hitting Up in the Zone | Knee Drill (Rotational Load) | Kneel-Down Throw — Isolating Upper Body and Wrist Snap | Partner Catch | Throwing Accuracy Race — Competitive Catch Under Pressure | Throwing Progression for Youth Players — Knee, Hip, Full | Warm-Up Catch | Throwing Progression | Throwing Progression for Youth Players"
4,P1,UeJpXF55kvs,https://www.youtube.com/watch?v=UeJpXF55kvs,8,6,compilation backing 6 schedulable drills,Line Drive Pro / Visual Feedback Swing Drill | Mini Wiffle Ball & Skinny Bat Drill | PVC Pipe Hip Rotation Drill | Stance & Athletic Position Drill | Stride Pause to Stride Swing Drill | The Swing Rail / Stay Inside the Ball Drill | 7 Best Youth Baseball Hitting Drills | Stance Drill
5,P1,3Xqb7j2BYTU,https://www.youtube.com/watch?v=3Xqb7j2BYTU,6,6,compilation backing 6 schedulable drills,Barry Larkin / Walk-Through Power Drill | Bounce Toss / Angled Toss Drill | Catch and Crush Drill — Stay Closed | Frisbee Drill — Hip Rotation & Finish | Happy Gilmore / Walking Load Drill | Shoulder Swings — Stay Short to the Ball
6,P1,McHb2hXrTrE,https://www.youtube.com/watch?v=McHb2hXrTrE,9,5,compilation backing 5 schedulable drills,4-Part Windup Drill — Breaking Down the Delivery | Follow-Through Hold Drill — Finishing Strong | Kneel-Down (Wrist Snap) Drill — Release Point & Backspin | Stride Direction Drill — Using a Chalk Line or Tape | Wrist Snap Drill | Follow Through Drill | Knee Drill | Must-Do Youth Pitching Drills for Beginners | Stride Drill
7,P1,q7CPS0RYDPM,https://www.youtube.com/watch?v=q7CPS0RYDPM,8,5,compilation backing 5 schedulable drills,Front Toss | Low Tee | Tee Work | Tee Work — Ball Out In Front | Two-Tee Drill — Contact at Different Heights | Front Toss Drill | How to Hit a Baseball Step by Step | Tee Drill
8,P1,9XkdpzNrswo,https://www.youtube.com/watch?v=9XkdpzNrswo,5,4,compilation backing 4 schedulable drills,Inside-Out Swing Drill (Fence Drill) | One Hand Drill | One-Hand Tee Drill (Bottom Hand) | One-Hand Tee Drill (Top Hand) | One Hand Hitting Drill
9,P1,ImeXGqKYP7Y,https://www.youtube.com/watch?v=ImeXGqKYP7Y,8,3,compilation backing 3 schedulable drills,Balance Point Drill — Leg Lift & Pause | Flamingo Balance Drill — Single-Leg Stability | Towel Drill — Arm Speed & Release Point | 9 Best Pitching Drills for Kids | 9 Best Pitching Drills for Kids — Full Progression | Balance Drill | Leg Lift Drill | Towel Snap Drill
10,P1,gOE484Meo_o,https://www.youtube.com/watch?v=gOE484Meo_o,4,2,compilation backing 2 schedulable drills,The Track and Catch Drill — Head on the Ball | Two-Strike Hitting Adjustment Drill | 10 Best Baseball Hitting Drills for Kids | 10 Best Baseball Hitting Drills for Kids
11,P1,5hYYRufn40s,https://www.youtube.com/watch?v=5hYYRufn40s,3,2,compilation backing 2 schedulable drills,Base Running Athletic Circuit | Base Running Circuit | Fundamentals of Hitting — Coach's Clinic
12,P1,pPx0lH8Kd3Y,https://www.youtube.com/watch?v=pPx0lH8Kd3Y,3,2,compilation backing 2 schedulable drills,EASY Baseball Catch Drill — First Catch Fundamentals | Two Hand Catch | Catch Drill
13,P1,hdyY3AoSkyk,https://www.youtube.com/watch?v=hdyY3AoSkyk,2,2,compilation backing 2 schedulable drills,Bucket Drill — Stay in Your Legs | Simple Base Running Drills for Youth Practice
14,P1,ZMuVnmUY2CI,https://www.youtube.com/watch?v=ZMuVnmUY2CI,3,1,compilation backing 1 schedulable drills,Crow Hop — Arm Strength and Outfield Throwing | 3 Great Outfield Drills for Youth Players | Crow Hop Drill
15,P1,O7FHkj4EUpY,https://www.youtube.com/watch?v=O7FHkj4EUpY,3,1,compilation backing 1 schedulable drills,Soft Toss | Soft Toss From the Side | Soft Toss From the Side
16,P2,h_mEnVPL6Qg,https://www.youtube.com/watch?v=h_mEnVPL6Qg,1,1,collection video matched to an existing canonical drill,Bent-Leg Slide Basics — The Right Way to Slide
17,P2,RmlsQPV4OGs,https://www.youtube.com/watch?v=RmlsQPV4OGs,1,1,collection video matched to an existing canonical drill,Catcher Throw-Down Footwork to Second
18,P2,iUdI35veg5E,https://www.youtube.com/watch?v=iUdI35veg5E,1,1,collection video matched to an existing canonical drill,Do-or-Die Charge & Throw
19,P2,n8OCrOmbTBU,https://www.youtube.com/watch?v=n8OCrOmbTBU,1,1,collection video matched to an existing canonical drill,Game-Speed Reaction Blocking
20,P2,qvwkdxepqTk,https://www.youtube.com/watch?v=qvwkdxepqTk,1,1,collection video matched to an existing canonical drill,Outfield Drop Step Drill
